Month,Net Revenue ($M),Total Cost ($M),Net Profit ($M),EBITDA ($M),EBITDA Margin (%),Inflation Adjusted Profit ($M),Cumulative Profit ($M),Required Investment ($M),Active Users (K),New Users (K),CAC,LTV,LTV/CAC Ratio
1,0.007,0.11625,-0.10925,-0.00925,-132.1,-0.10925,-0.10925,0.11625,0.5,0.5,20.59406583630049,135.68,6.588305635152495
2,0.008176,0.01746,-0.009284,-0.009284,-113.6,-0.009253705775270732,-0.118534,0.01746,0.584,0.549,20.59406583630049,135.40983606557376,6.575187102048166
3,0.013818,0.0195675,-0.0057495,-0.005749500000000002,-41.6,-0.005712039321222055,-0.1242835,0.0195675,0.987,0.604,20.59406583630049,135.26490066225165,6.568149375526644
4,0.01687,0.021322500000000005,-0.004452500000000003,-0.004452500000000003,-26.4,-0.004409055780893774,-0.128736,0.021322500000000005,1.205,0.665,20.59406583630049,135.06766917293234,6.558572272545276
5,0.022302,0.023623500000000002,-0.0013215000000000037,-0.0013215000000000037,-5.9,-0.0013043357195493715,-0.1300575,0.023623500000000002,1.593,0.731,20.59406583630049,134.71956224350205,6.5416690086537574
6,0.027972,0.026100100000000005,0.0018718999999999943,0.0018718999999999943,6.7,0.001841558076500699,-0.1281856,0.026100100000000005,1.998,0.804,20.59406583630049,134.40298507462686,6.526296756695761
7,0.033992,0.028785610000000007,0.005206389999999992,0.005206389999999992,15.3,0.0051052854241104405,-0.12297921000000002,0.028785610000000007,2.428,0.884,20.59406583630049,134.02714932126696,6.508047045524234
8,0.040236,0.03167217100000001,0.008563828999999986,0.008563828999999986,21.3,0.008370123620642662,-0.11441538100000004,0.03167217100000001,2.874,0.973,20.59406583630049,133.54573484069886,6.484670676603458
9,0.046788,0.034790888100000014,0.011997111899999989,0.011997111899999986,25.6,0.01168748725016148,-0.10241826910000004,0.034790888100000014,3.342,1.07,20.59406583630049,133.02803738317758,6.459532490601898
10,0.053676,0.03816447691000002,0.01551152308999998,0.01551152308999998,28.9,0.015061888878076406,-0.08690674601000006,0.03816447691000002,3.834,1.177,20.59406583630049,132.4553950722175,6.431726310146231
